"token","codigo","valor","linha","coluna"
"numero","501","1","7","8"
"delimitador","305",";","7","9"
"identificador","203","b","7","11"
"operador","420","|=","7","13"
"numero","502","2","7","16"
"delimitador","305",";","7","17"
"identificador","202","a","7","19"
"operador","421","^=","7","21"
"numero","503","3","7","24"
"delimitador","305",";","7","25"
"identificador","202","a","7","27"
"operador","422","<<=","7","29"
"numero","501","1","7","33"
"delimitador","305",";","7","34"
"identificador","203","b","7","36"
"operador","423",">>=","7","38"
"numero","502","2","7","42"
"delimitador","305",";","7","43"
"identificador","202","a","7","45"
"operador","424","+=","7","47"
"numero","505","5","7","50"
"delimitador","305",";","7","51"
"identificador","203","b","7","53"
"operador","425","-=","7","55"
"numero","506","6","7","58"
"delimitador","305",";","7","59"
"identificador","202","a","7","61"
"operador","426","*=","7","63"
"numero","507","7","7","66"
"delimitador","305",";","7","67"
"identificador","203","b","7","69"
"operador","427","/=","7","71"
"numero","508","8","7","74"
"delimitador","305",";","7","75"
"identificador","202","a","7","77"
"operador","428","%=","7","79"
"numero","509","9","7","82"
"delimitador","305",";","7","83"
"palavra_reservada","102","bool","8","3"
"identificador","208","logic","8","8"
"operador","401","=","8","14"
"operador","429","!","8","16"
"palavra_reservada","103","false","8","17"
"operador","410","&&","8","23"
"palavra_reservada","104","true","8","26"
"operador","408","||","8","31"
"palavra_reservada","103","false","8","34"
"delimitador","305",";","8","39"
"palavra_reservada","101","int","9","3"
"identificador","209","m","9","7"
"operador","401","=","9","9"
"delimitador","301","(","9","11"
"identificador","202","a","9","12"
"operador","430","?","9","14"
"identificador","203","b","9","16"
"operador","431",":","9","18"
"identificador","207","z","9","20"
"delimitador","302",")","9","21"
"delimitador","305",";","9","22"
"identificador","210","std","10","3"
"operador","432","::","10","6"
"identificador","211","vector","10","8"
"operador","411","<","10","14"
"palavra_reservada","101","int","10","15"
"operador","413",">","10","18"
"identificador","212","v","10","20"
"delimitador","305",";","10","21"
"identificador","212","v","10","23"
"operador","433",".","10","24"
"identificador","213","push_back","10","25"
"delimitador","301","(","10","34"
"numero","510","10","10","35"
"delimitador","302",")","10","37"
"delimitador","305",";","10","38"
"palavra_reservada","101","int","11","3"
"identificador","214","w","11","7"
"operador","401","=","11","9"
"identificador","212","v","11","11"
"operador","433",".","11","12"
"identificador","215","at","11","13"
"delimitador","301","(","11","15"
"numero","511","0","11","16"
"delimitador","302",")","11","17"
"delimitador","305",";","11","18"
"palavra_reservada","105","return","12","3"
"identificador","204","x","12","10"
"operador","402","+","12","12"
"identificador","206","y","12","14"
"operador","402","+","12","16"
"identificador","207","z","12","18"
"operador","402","+","12","20"
"identificador","214","w","12","22"
"operador","402","+","12","24"
"delimitador","301","(","12","26"
"palavra_reservada","101","int","12","27"
"delimitador","302",")","12","30"
"identificador","205","eq","12","31"
"operador","402","+","12","34"
"delimitador","301","(","12","36"
"palavra_reservada","101","int","12","37"
"delimitador","302",")","12","40"
"identificador","208","logic","12","41"
"operador","402","+","12","47"
"identificador","209","m","12","49"
"delimitador","305",";","12","50"
"delimitador","306","}","13","1"
